Designator,Mid X,Mid Y,Rotation,Layer
J25,125.41005,-99.055499,90.0,top
J26,146.014645,-48.583701,0.0,top
J27,146.152195,-99.055499,90.0,top
J28,146.142195,-94.555499,180.0,top
J29,166.2527,-99.057999,90.0,top
J3,42.407649,-48.604399,0.0,top
J30,165.960598,-48.454096,0.0,top
J32,166.2427,-94.557999,180.0,top
J4,42.397649,-44.104399,270.0,top
J5,41.6669,-94.576197,180.0,top
J6,63.124598,-44.104399,270.0,top
J7,63.134598,-48.604399,0.0,top
J8,83.851547,-44.104399,270.0,top
J9,62.393849,-94.576197,180.0,top
R1,211.4019,-51.3611,270.0,top
R10,168.894298,-54.5338,0.0,top
R11,143.0635,-54.5084,180.0,top
R12,148.948345,-54.5338,0.0,top
R13,60.2127,-54.5084,180.0,top
R14,66.068298,-54.5338,0.0,top
R15,80.9244,-54.5084,180.0,top
R16,86.795247,-54.5338,0.0,top
R17,122.3919,-54.5084,180.0,top
R18,128.221396,-54.5338,0.0,top
R19,44.6024,-88.519,0.0,top
R2,207.264,-51.3865,270.0,top
R20,38.7332,-88.519,180.0,top
R21,65.3542,-88.4936,0.0,top
R22,59.460149,-88.519,180.0,top
R23,86.0806,-88.519,0.0,top
R24,80.187098,-88.519,180.0,top
R25,107.6706,-88.4936,0.0,top
R26,101.7383,-88.519,180.0,top
R27,128.3462,-88.519,0.0,top
R28,122.46635,-88.519,180.0,top
R29,149.1234,-88.519,0.0,top
R3,193.04,-89.599,90.0,top
R30,143.208495,-88.519,180.0,top
R31,169.1894,-88.519,0.0,top
R32,163.309,-88.519,180.0,top
R33,49.8094,-67.3354,180.0,top
R34,112.2172,-67.3354,180.0,top
R35,173.370298,-67.058095,180.0,top
R36,153.424345,-67.1877,180.0,top
R37,70.544298,-67.3354,180.0,top
R38,91.271247,-67.3354,180.0,top
R39,132.697396,-67.3354,180.0,top
R4,186.1952,-84.7852,180.0,top
R40,34.2572,-75.972198,0.0,top
R41,54.984149,-75.972198,0.0,top
R42,75.711098,-75.972198,0.0,top
R43,97.2623,-75.9515,0.0,top
R44,117.99035,-75.9515,0.0,top
R45,138.732495,-75.9515,0.0,top
R46,158.8262,-75.946,0.0,top
R5,39.4676,-54.5338,180.0,top
R6,45.3644,-54.5338,0.0,top
R7,101.6107,-54.5084,180.0,top
R8,107.494447,-54.5338,0.0,top
R9,163.0426,-54.5338,180.0,top
SW1,206.756,-62.23,0.0,top
U1,193.294,-49.53,0.0,top
U10,125.287696,-61.067702,270.0,top
U11,41.6669,-82.076197,90.0,top
U12,62.393849,-82.076197,90.0,top
U13,83.120798,-82.076197,90.0,top
U14,104.672,-82.055499,90.0,top
U15,125.40005,-82.055499,90.0,top
U16,146.142195,-82.055499,90.0,top
U17,166.2427,-82.057999,90.0,top
U2,187.452,-92.71,270.0,top
U3,189.317,-73.104,90.0,top
U4,42.407649,-61.104399,270.0,top
U5,104.560747,-61.083701,270.0,top
U6,165.960598,-60.954096,270.0,top
U7,146.014645,-61.083701,270.0,top
U8,63.134598,-61.104399,270.0,top
U9,83.861547,-61.104399,270.0,top
Y1,204.47,-74.676,270.0,top
